title,url,description,image_url,topics
"Gaza detainees shackled and blindfolded at Israel hospital, say whistle-blowers",https://www.bbc.com/news/articles/crgygdr7vezo,"Whistle-blowers at a military hospital tell the BBC painkillers were ""routinely"" not used in procedures.",https://ichef.bbci.co.uk/news/480/cpsprodpb/77c8/live/5f286fc0-16d7-11ef-a5f9-c9e97f2e93cf.jpg,['Middle East']
What the ICC arrest warrants mean for Israel and Hamas,https://www.bbc.com/news/articles/cw4490z75v3o,The Israeli and Hamas leaders are suspected of committing war crimes during the continuing war in Gaza.,https://ichef.bbci.co.uk/news/480/cpsprodpb/e2c4/live/d1436a50-1755-11ef-976f-87c9f89e656e.png,['BBC InDepth']
"Passengers tell of horror flight in which British man, 73, dies",https://www.bbc.comhttps://www.bbc.com/news/live/world-69044396,"Authorities say the man ""likely"" died of a heart attack; seven others are critically injured.",https://ichef.bbci.co.uk/ace/standard/480/cpsprodpb/13E69/production/_133331518_15a8ad47b1b9ee9106f0f48008de5d8cdd20fbe10_0_4728_35481000x750.jpg,[]
Trump hush-money trial nears end as defence team rests,https://www.bbc.comhttps://www.bbc.com/news/live/world-us-canada-69028137,"The ex-president will not testify in the criminal trial, in which he is accused of falsifying business records.",https://ichef.bbci.co.uk/ace/standard/480/cpsprodpb/56CF/production/_133332222_bddefa95c56581b707b398230e6284ba1ece93360_0_3000_22501000x750.jpg,[]
Japan blocks iconic Mt Fuji view to deter tourists,https://www.bbc.com/news/articles/cgrrky897k0o,A big barrier is erected as local residents accuse tourists of dropping litter and parking illegally.,https://ichef.bbci.co.uk/news/480/cpsprodpb/a54b/live/baf13bb0-1732-11ef-a5f9-c9e97f2e93cf.jpg,['Asia']
Elvis's granddaughter fights Graceland auction,https://www.bbc.com/news/articles/crgg5pne2nno,Actress Riley Keough claims a company trying to sell the estate forged her mother's signature.,https://ichef.bbci.co.uk/news/480/cpsprodpb/be76/live/9047eee0-175f-11ef-b5cc-cb8b8c4cef5a.jpg,['Culture']
Thousands of Texans have no power as heat rises,https://www.bbc.com/news/world-us-canada-69045473,"Days after a deadly storm, more than 140,000 people are without power - and air conditioning.",https://ichef.bbci.co.uk/news/480/cpsprodpb/17523/production/_133332559_gettyimages-2153582314.jpg,['US & Canada']
Trump campaign deletes video mentioning 'unified Reich',https://www.bbc.com/news/world-us-canada-69045271,"Campaign says video was posted to Trump's Truth Social account by a staff member, not by the ex-president.",https://ichef.bbci.co.uk/news/480/cpsprodpb/0143/production/_133332300_reich5.png,['US & Canada']
Moose kills US man trying to photograph its calves,https://www.bbc.com/news/articles/clll2epyd4jo,Dale Chorman and a friend went in search of a cow moose and its two newborn calves on his property.,https://ichef.bbci.co.uk/news/480/cpsprodpb/a51b/live/c84c0950-177a-11ef-b5cc-cb8b8c4cef5a.jpg,['US & Canada']
Timelapse captures Baltimore bridge wreckage removal,https://www.bbc.com/news/world-us-canada-69041447,Footage recorded over weeks depicts the massive clearing effort and the moment cargo ship Dali was moved.,https://ichef.bbci.co.uk/news/480/cpsprodpb/1557F/production/_133332478_p0hzcxy5.jpg,['US & Canada']
Thousands at Iran president's funeral procession,https://www.bbc.com/news/articles/cxwwydey489o,"Mourners waved Iranian flags and portraits of the late president, who will be buried on Thursday.",https://ichef.bbci.co.uk/news/480/cpsprodpb/2948/live/feffe160-1766-11ef-baa7-25d483663b8e.jpg,['Middle East']
